Date,APA,BA,BAX,BMY,CMCSA,CNP,CPB,DE,HPQ,JCI,JPM,LUV,MMC,MO,MSFT,NI,PCAR,PSA,SEE,T,TGT,TMO,TXT,VZ,ZION
2016-01-04,39.18716812133789,126.0051040649414,34.722965240478516,56.235931396484375,24.789188385009766,14.546504974365234,42.866981506347656,68.00347900390625,9.621540069580078,25.488489151000977,53.95481491088867,40.097412109375,48.472049713134766,40.44855499267578,49.5910530090332,16.09039878845215,37.98634338378906,198.48870849609375,39.35103225708008,23.607986450195312,61.950172424316406,136.3389892578125,41.08914566040039,34.719669342041016,23.462406158447266
2016-01-05,38.39337158203125,126.51628112792969,34.86308288574219,57.343360900878906,24.793643951416016,14.681857109069824,43.02463150024414,68.39676666259766,9.71277904510498,25.183813095092773,54.04810333251953,40.575225830078125,48.87359619140625,41.26612854003906,49.817291259765625,16.34593391418457,37.994407653808594,204.09329223632812,39.735042572021484,23.772932052612305,63.03670120239258,136.1031494140625,41.18815612792969,35.1965217590332,23.207664489746094
2016-01-06,33.983375549316406,124.50738525390625,34.94715881347656,56.33661651611328,24.60207748413086,14.498730659484863,42.949954986572266,67.62806701660156,9.364412307739258,24.943279266357422,53.26787567138672,40.94791030883789,48.28465270996094,41.703102111816406,48.9123420715332,16.43661117553711,38.0024528503418,204.41819763183594,39.11331558227539,23.738088607788086,62.396583557128906,135.06153869628906,39.95052719116211,34.87854766845703,22.531286239624023
2016-01-07,32.237030029296875,119.28779602050781,34.36796951293945,54.776119232177734,24.330303192138672,14.212102890014648,42.42568588256836,67.0291976928711,8.933101654052734,24.30987548828125,51.11375045776367,40.08784866333008,47.918792724609375,40.97716522216797,47.21105194091797,16.073915481567383,36.850643157958984,202.2901153564453,37.8790283203125,23.35476303100586,62.22811508178711,131.97613525390625,39.12875747680664,34.68698501586914,21.854907989501953
2016-01-08,32.325225830078125,116.57939910888672,33.81682586669922,53.38344955444336,24.35702896118164,14.180255889892578,42.667781829833984,65.92976379394531,8.775506973266602,24.26978874206543,49.96883773803711,40.33631896972656,47.2495231628418,41.047637939453125,47.355838775634766,16.049184799194336,36.43178939819336,200.81179809570312,37.82417297363281,23.375673294067383,60.12240219116211,131.82875061035156,38.68319320678711,34.34984588623047,21.60895538330078
2016-01-11,30.92284393310547,116.77668762207031,33.246986389160156,52.838111877441406,24.37930679321289,14.013051986694336,42.90989303588867,66.27835845947266,8.833569526672363,24.277803421020508,49.89252471923828,40.17387008666992,46.562435150146484,41.907501220703125,47.32868957519531,16.312959671020508,36.43178939819336,202.79371643066406,37.76931381225586,23.66142463684082,60.99837112426758,132.5362548828125,38.50498580932617,34.54906463623047,21.178529739379883
2016-01-12,31.24036979675293,118.31026458740234,33.14421463012695,53.22403335571289,24.446138381958008,13.774190902709961,44.64630889892578,66.60907745361328,8.974573135375977,24.51032066345215,50.00276184082031,40.785457611083984,46.999671936035156,41.851112365722656,47.7630615234375,16.106884002685547,36.399559020996094,203.1997833251953,38.09846115112305,23.626577377319336,61.79013442993164,134.58990478515625,38.6931037902832,34.42646789550781,21.090688705444336
2016-01-13,31.39912986755371,114.90229034423828,32.537010192871094,51.411869049072266,23.858034133911133,13.59106731414795,44.07028579711914,65.44709777832031,8.775506973266602,23.900976181030273,48.62887954711914,38.60667037963867,46.6070442199707,40.72343063354492,46.731422424316406,16.049184799194336,35.68268966674805,202.53372192382812,37.275596618652344,23.51506233215332,60.34139633178711,131.44549560546875,37.57428741455078,33.82880783081055,20.10686683654785
2016-01-14,32.66038131713867,115.87089538574219,32.98540496826172,53.28276824951172,24.526334762573242,14.036938667297363,44.6546630859375,65.78675842285156,8.808684349060059,24.229700088500977,49.35823059082031,38.673553466796875,47.80278015136719,41.033546447753906,48.06169128417969,16.486066818237305,36.81840896606445,202.84239196777344,37.7784538269043,23.90535545349121,59.305381774902344,133.43043518066406,37.584190368652344,34.380489349365234,20.194711685180664
2016-01-15,31.16098976135254,112.66918182373047,32.789241790771484,52.670318603515625,24.009519577026367,13.774190902709961,44.23725509643555,65.35771942138672,8.385669708251953,24.28582000732422,48.37445068359375,38.00463104248047,46.589195251464844,40.31464767456055,46.14321517944336,16.271747589111328,36.4962272644043,201.8839569091797,37.431034088134766,23.689300537109375,59.02743148803711,130.45303344726562,36.980220794677734,34.04335403442383,19.623741149902344
